X,Y,OBJECTID_1,OBJECTID,LIBRARIES_,DISTRICT,ST_ADDRESS,BRANCH,ZIPCODE
-71.0650064095455,42.3614466844553,1,5,5, ,151 Cambridge St,West End,02114
-71.0709680531887,42.2875192036297,2,11,11, ,690 Washington St,Codman Square,02124
-71.1221358053461,42.2571040122181,3,17,17,HYDE PARK,35 Harvard Av,Hyde Park,02136
-71.1110986663788,42.3206457688339,4,18,18,JAMAICA PLAIN,433 Centre St,Connolly,02130
-71.0835157227528,42.3280177912347,5,22,22,ROXBURY,65 Warren St,Dudley,02119
-71.0788692940349,42.3494351366054,6,1,1,COPLEY SQUARE,700 Boylston St,Central,02116
-71.0550249061683,42.3640798628704,7,3,3, ,25 Parmenter St,North End,02113
-71.0770320083669,42.3413321337006,8,4,4, ,685 Tremont St,South End,02118
-71.1281070028289,42.3601129614952,9,6,6,BRIGHTON,300 North Harvard St,Honan-Allston,02134
-71.1529065612876,42.3476854983543,10,7,7, ,40 Academy Hill Rd,Brighton,02135
-71.1678781122689,42.3513226531212,11,8,8, ,419 Faneuil St,Faneuil,02135
-71.0644383759992,42.3758164329738,12,9,9,CHARLESTOWN,179 Main St,Charlestown,02129
-71.0544051478307,42.2862737995185,13,10,10,DORCHESTER,690 Adams St,Adams Street,02122
-71.0603065050297,42.2988854569341,14,12,12, ,1520 Dorchester Av,Fields Corner,02122
-71.0685089171344,42.2735514599007,15,13,13, ,27 Richmond St,Lower Mills,02124
-71.0675347959707,42.3148536980482,16,14,14, ,500 Columbia Rd,Uphams Corner,02125
-71.0285772425218,42.3777663350266,17,15,15,EAST BOSTON,365 Bremen St,East Boston,02128
-71.1148784992973,42.3086337461552,18,19,19, ,12 Sedgwick St,Jamaica Plain,02130
-71.0931398327333,42.2775239697367,19,20,20,MATTAPAN,1350 Blue Hill Avenue,Mattapan,02126
-71.1286545702298,42.2856474827403,20,21,21,ROSLINDALE,4246 Washington St,Roslindale,02131
-71.0956321871008,42.3140567812727,21,23,23, ,2044 Columbus Av,Egleston Square,02119
-71.0811937657854,42.3079877269766,22,24,24, ,41 Geneva Ave,Grove Hall,02121
-71.0990794611907,42.3324613683475,23,25,25, ,1497 Tremont St,Parker Hill,02120
-71.1574501117873,42.2833957456081,24,27,27,WEST ROXBURY,1961 Centre St,West Roxbury,02132
-71.0387185918581,42.3358360370932,25,28,28, SOUTH BOSTON,646 East Broadway,South Boston,02127
-71.0504543523722,42.3304148586108,26,29,29, ,1226 Columbia Rd,Washington Village,02127
